index,Rwp,step,frac,scale
0,21.176549170647334,初始化,"[0.3848381042480469, 0.6151618957519531]","[0.5045470595359802, 0.6601794362068176]"
1,20.988255973345026,粗调 (Stage 1)-StepA,"[0.3514389097690582, 0.6485611200332642]","[0.4723320007324219, 0.7154456973075867]"
2,22.361402771238893,粗调 (Stage 1)-StepB,"[0.9862833023071289, 0.013716683723032475]","[0.12609364092350006, 0.02473416179418564]"
3,20.37188564967952,粗调 (Stage 1),"[0.39072132110595703, 0.609278678894043]","[0.46869418025016785, 0.7318751215934753]"
4,21.018467511988607,粗调 (Stage 1),"[0.29302698373794556, 0.7069730162620544]","[0.38022786378860474, 0.5417270660400391]"
5,20.37188564967952,粗调 (Stage 1),"[0.39072132110595703, 0.609278678894043]","[0.46869418025016785, 0.7318751215934753]"
6,21.018467511988607,粗调 (Stage 1),"[0.29302698373794556, 0.7069730162620544]","[0.38022786378860474, 0.5417270660400391]"
7,20.37188564967952,粗调 (Stage 1),"[0.39072132110595703, 0.609278678894043]","[0.46869418025016785, 0.7318751215934753]"
8,21.018467511988607,粗调 (Stage 1),"[0.29302698373794556, 0.7069730162620544]","[0.38022786378860474, 0.5417270660400391]"
9,20.22657637225117,粗调 (Stage 1),"[0.3678548038005829, 0.6321451663970947]","[0.48018741607666016, 0.7767353653907776]"
10,20.513787695922332,粗调 (Stage 1),"[0.38920584321022034, 0.6107941269874573]","[0.47401073575019836, 0.7558029294013977]"
11,20.387378999698523,粗调 (Stage 1),"[0.38337746262550354, 0.6166225671768188]","[0.4692377746105194, 0.7370569109916687]"
12,20.506766465236005,粗调 (Stage 1),"[0.40375471115112305, 0.5962453484535217]","[0.46709054708480835, 0.7331380844116211]"
13,20.337752505105588,粗调 (Stage 1),"[0.3837280571460724, 0.61627197265625]","[0.46998268365859985, 0.7373340725898743]"
14,20.436294293743266,粗调 (Stage 1),"[0.39440852403640747, 0.6055914759635925]","[0.46954745054244995, 0.7333570718765259]"
15,20.871350560355502,粗调 (Stage 1),"[0.09649444371461868, 0.9035055637359619]","[0.23413486778736115, 0.4735451936721802]"
16,20.871350560355502,粗调 (Stage 1),"[0.09649444371461868, 0.9035055637359619]","[0.23413486778736115, 0.4735451936721802]"
17,20.87592794839597,粗调 (Stage 1),"[0.09223751723766327, 0.9077625274658203]","[0.22939127683639526, 0.471330463886261]"
18,20.87592794839597,粗调 (Stage 1),"[0.09223751723766327, 0.9077625274658203]","[0.22939127683639526, 0.471330463886261]"
19,20.872323481159704,粗调 (Stage 1),"[0.09173557162284851, 0.9082643985748291]","[0.22952738404273987, 0.473079115152359]"
20,20.872323481159704,粗调 (Stage 1),"[0.09173557162284851, 0.9082643985748291]","[0.22952738404273987, 0.473079115152359]"
21,19.856310771331056,粗调 (Stage 1),"[0.3819345533847809, 0.6180654764175415]","[0.4782792031764984, 0.779301106929779]"
22,19.856310771331056,粗调 (Stage 1),"[0.3819345533847809, 0.6180654764175415]","[0.4782792031764984, 0.779301106929779]"
23,20.76023557592679,粗调 (Stage 1),"[0.41186287999153137, 0.5881370902061462]","[0.4675619602203369, 0.6942750811576843]"
24,20.687420672700398,粗调 (Stage 1),"[0.3531806766986847, 0.6468192934989929]","[0.49125242233276367, 0.7936604619026184]"
