# 2Theta  Intensity_Obs  Intensity_Fit
10.009433 0.188493 0.165424
10.020300 0.191859 0.165380
10.031166 0.191233 0.165337
10.042033 0.195068 0.165294
10.052899 0.188493 0.165250
10.063765 0.194051 0.165207
10.074632 0.184110 0.165164
10.085498 0.194364 0.165121
10.096365 0.186145 0.165078
10.107231 0.185753 0.165036
10.118098 0.184344 0.164993
10.128964 0.191311 0.164951
10.139831 0.183170 0.164908
10.150697 0.192407 0.164866
10.161563 0.195695 0.164824
10.172430 0.197417 0.164781
10.183296 0.187476 0.164740
10.194163 0.185049 0.164698
10.205029 0.190920 0.164656
10.215896 0.189746 0.164614
10.226762 0.190607 0.164573
10.237628 0.194364 0.164531
10.248495 0.183014 0.164490
10.259361 0.185519 0.164449
10.270228 0.186536 0.164408
10.281094 0.181683 0.164367
10.291961 0.188728 0.164326
10.302827 0.185440 0.164285
10.313694 0.186145 0.164244
10.324560 0.185832 0.164204
10.335426 0.188415 0.164164
10.346293 0.176830 0.164124
10.357159 0.180117 0.164084
10.368026 0.189041 0.164044
10.378892 0.181057 0.164004
10.389759 0.186771 0.163964
10.400625 0.174951 0.163925
10.411492 0.183405 0.163886
10.422358 0.178708 0.163847
10.433224 0.186067 0.163808
10.444091 0.174481 0.163769
10.454957 0.181683 0.163731
10.465824 0.182466 0.163693
10.476690 0.183483 0.163655
10.487557 0.187319 0.163617
10.498423 0.180587 0.163580
10.509289 0.181605 0.163543
10.520156 0.192642 0.163507
10.531022 0.181605 0.163470
10.541889 0.182779 0.163435
10.552755 0.184579 0.163400
10.563622 0.176595 0.163365
10.574488 0.181292 0.163331
10.585355 0.185284 0.163298
10.596221 0.182231 0.163266
10.607087 0.178865 0.163235
10.617954 0.183092 0.163205
10.628820 0.179256 0.163176
10.639687 0.175734 0.163149
10.650553 0.178552 0.163122
10.661420 0.178943 0.163098
10.672286 0.179022 0.163075
10.683153 0.181683 0.163054
10.694019 0.174716 0.163035
10.704885 0.171820 0.163019
10.715752 0.174247 0.163004
10.726618 0.182466 0.162991
10.737485 0.176986 0.162981
10.748351 0.173777 0.162972
10.759218 0.176438 0.162966
10.770084 0.176751 0.162961
10.780950 0.172290 0.162958
10.791817 0.180978 0.162956
10.802683 0.185440 0.162955
10.813550 0.174247 0.162953
10.824416 0.173620 0.162951
10.835283 0.169159 0.162946
10.846149 0.181996 0.162939
10.857016 0.174951 0.162927
10.867882 0.170254 0.162909
