# 2Theta  Intensity_Obs  Intensity_Fit
10.009433 0.188493 0.163018
10.020300 0.191859 0.162984
10.031166 0.191233 0.162949
10.042033 0.195068 0.162915
10.052899 0.188493 0.162881
10.063765 0.194051 0.162847
10.074632 0.184110 0.162814
10.085498 0.194364 0.162780
10.096365 0.186145 0.162746
10.107231 0.185753 0.162713
10.118098 0.184344 0.162679
10.128964 0.191311 0.162646
10.139831 0.183170 0.162612
10.150697 0.192407 0.162579
10.161563 0.195695 0.162546
10.172430 0.197417 0.162513
10.183296 0.187476 0.162480
10.194163 0.185049 0.162447
10.205029 0.190920 0.162414
10.215896 0.189746 0.162381
10.226762 0.190607 0.162349
10.237628 0.194364 0.162316
10.248495 0.183014 0.162284
10.259361 0.185519 0.162252
10.270228 0.186536 0.162220
10.281094 0.181683 0.162187
10.291961 0.188728 0.162155
10.302827 0.185440 0.162124
10.313694 0.186145 0.162092
10.324560 0.185832 0.162060
10.335426 0.188415 0.162029
10.346293 0.176830 0.161997
10.357159 0.180117 0.161966
10.368026 0.189041 0.161935
10.378892 0.181057 0.161904
10.389759 0.186771 0.161873
10.400625 0.174951 0.161842
10.411492 0.183405 0.161812
10.422358 0.178708 0.161782
10.433224 0.186067 0.161751
10.444091 0.174481 0.161721
10.454957 0.181683 0.161692
10.465824 0.182466 0.161662
10.476690 0.183483 0.161633
10.487557 0.187319 0.161604
10.498423 0.180587 0.161575
10.509289 0.181605 0.161547
10.520156 0.192642 0.161519
10.531022 0.181605 0.161491
10.541889 0.182779 0.161464
10.552755 0.184579 0.161437
10.563622 0.176595 0.161411
10.574488 0.181292 0.161386
10.585355 0.185284 0.161361
10.596221 0.182231 0.161337
10.607087 0.178865 0.161315
10.617954 0.183092 0.161293
10.628820 0.179256 0.161272
10.639687 0.175734 0.161253
10.650553 0.178552 0.161235
10.661420 0.178943 0.161219
10.672286 0.179022 0.161204
10.683153 0.181683 0.161191
10.694019 0.174716 0.161180
10.704885 0.171820 0.161171
10.715752 0.174247 0.161164
10.726618 0.182466 0.161159
10.737485 0.176986 0.161156
10.748351 0.173777 0.161155
10.759218 0.176438 0.161156
10.770084 0.176751 0.161159
10.780950 0.172290 0.161163
10.791817 0.180978 0.161169
10.802683 0.185440 0.161174
10.813550 0.174247 0.161180
10.824416 0.173620 0.161184
10.835283 0.169159 0.161186
10.846149 0.181996 0.161186
10.857016 0.174951 0.161180
10.867882 0.170254 0.161170
10.878748 0.176986 0.161153
10.889615 0.172446 0.161128
10.900481 0.174090 0.161096
10.911348 0.181213 0.161057
10.922214 0.169706 0.161012
10.933081 0.176517 0.160960
10.943947 0.169002 0.160904
10.954814 0.170959 0.160844
10.965680 0.168845 0.160782
10.976546 0.173386 0.160719
10.987413 0.173307 0.160655
10.998279 0.167671 0.160592
11.009146 0.173777 0.160529
11.020012 0.178160 0.160468
11.030879 0.170568 0.160409
11.041745 0.170333 0.160351
11.052611 0.173933 0.160296
11.063478 0.171820 0.160242
11.074344 0.170098 0.160191
11.085211 0.176673 0.160141
11.096077 0.173151 0.160094
11.106944 0.173542 0.160048
11.117810 0.171429 0.160004
11.128677 0.180039 0.159962
11.139543 0.171037 0.159922
11.150409 0.170254 0.159883
11.161276 0.168767 0.159845
11.172142 0.168376 0.159808
11.183009 0.167045 0.159773
11.193875 0.167906 0.159738
11.204742 0.175969 0.159705
11.215608 0.167045 0.159672
11.226475 0.171194 0.159640
11.237341 0.172446 0.159608
11.248207 0.172524 0.159577
11.259074 0.171272 0.159547
11.269940 0.169237 0.159517
11.280807 0.168689 0.159487
11.291673 0.165245 0.159458
11.302540 0.166967 0.159429
11.313406 0.175969 0.159400
11.324272 0.165088 0.159371
11.335139 0.171585 0.159343
11.346005 0.160313 0.159315
11.356872 0.162192 0.159287
11.367738 0.167436 0.159259
11.378605 0.172916 0.159231
11.389471 0.165088 0.159204
11.400338 0.170959 0.159177
11.411204 0.170098 0.159149
11.422070 0.161957 0.159122
11.432937 0.163757 0.159096
11.443803 0.169315 0.159069
11.454670 0.167202 0.159042
11.465536 0.170020 0.159016
11.476403 0.163523 0.158989
11.487269 0.164070 0.158963
11.498136 0.158121 0.158937
11.509002 0.158982 0.158911
11.519868 0.164932 0.158885
11.530735 0.169863 0.158859
11.541601 0.164227 0.158833
11.552468 0.163992 0.158807
11.563334 0.164070 0.158782
11.574201 0.160548 0.158756
11.585067 0.170254 0.158731
11.595933 0.166027 0.158705
11.606800 0.164853 0.158680
11.617666 0.169550 0.158655
11.628533 0.165010 0.158630
11.639399 0.160157 0.158605
11.650266 0.159217 0.158580
11.661132 0.160705 0.158555
11.671999 0.164697 0.158531
11.682865 0.165558 0.158506
11.693731 0.168141 0.158481
11.704598 0.172681 0.158457
11.715464 0.162114 0.158432
11.726331 0.166732 0.158408
11.737197 0.163601 0.158384
11.748064 0.168219 0.158360
11.758930 0.165010 0.158335
11.769796 0.170020 0.158311
11.780663 0.156243 0.158287
11.791529 0.161487 0.158264
11.802396 0.157573 0.158240
11.813262 0.154755 0.158216
11.824129 0.158826 0.158192
11.834995 0.165245 0.158169
11.845862 0.157339 0.158145
11.856728 0.155225 0.158122
11.867594 0.156947 0.158098
11.878461 0.161722 0.158075
11.889327 0.167280 0.158052
11.900194 0.165010 0.158029
11.911060 0.161566 0.158005
11.921927 0.161879 0.157982
11.932793 0.160548 0.157959
11.943660 0.158591 0.157937
11.954526 0.166419 0.157914
11.965392 0.158982 0.157891
11.976259 0.159217 0.157868
11.987125 0.163053 0.157846
11.997992 0.161487 0.157823
12.008858 0.156634 0.157801
12.019725 0.159452 0.157778
12.030591 0.161800 0.157756
12.041457 0.157808 0.157734
12.052324 0.167906 0.157712
12.063190 0.161566 0.157690
12.074057 0.161487 0.157668
12.084923 0.161096 0.157646
12.095790 0.156712 0.157624
12.106656 0.150998 0.157602
12.117523 0.165558 0.157580
12.128389 0.158513 0.157559
12.139255 0.158200 0.157537
12.150122 0.158121 0.157516
12.160988 0.155460 0.157494
12.171855 0.157339 0.157473
12.182721 0.158043 0.157452
12.193588 0.160000 0.157430
12.204454 0.156164 0.157409
12.215321 0.157417 0.157388
12.226187 0.155225 0.157367
12.237053 0.154207 0.157347
12.247920 0.149198 0.157326
12.258786 0.155695 0.157305
12.269653 0.155930 0.157285
12.280519 0.152485 0.157264
12.291386 0.153425 0.157244
12.302252 0.158200 0.157223
12.313118 0.159374 0.157203
12.323985 0.159922 0.157183
12.334851 0.146614 0.157163
12.345718 0.150215 0.157143
12.356584 0.157104 0.157123
12.367451 0.158982 0.157104
12.378317 0.156791 0.157084
12.389184 0.155225 0.157065
12.400050 0.158200 0.157045
12.410916 0.146849 0.157026
12.421783 0.151781 0.157007
12.432649 0.152172 0.156988
12.443516 0.152564 0.156970
12.454382 0.154286 0.156951
12.465249 0.151076 0.156933
12.476115 0.149746 0.156915
12.486982 0.155851 0.156897
12.497848 0.163679 0.156880
12.508714 0.153425 0.156863
12.519581 0.158200 0.156846
12.530447 0.159530 0.156829
12.541314 0.152016 0.156813
12.552180 0.156712 0.156798
12.563047 0.159530 0.156783
12.573913 0.154207 0.156768
12.584779 0.149511 0.156755
12.595646 0.153973 0.156742
12.606512 0.159843 0.156730
12.617379 0.147789 0.156718
12.628245 0.153894 0.156708
12.639112 0.148571 0.156699
12.649978 0.160078 0.156691
12.660845 0.163131 0.156684
12.671711 0.156164 0.156679
12.682577 0.156791 0.156675
12.693444 0.146771 0.156672
12.704310 0.158748 0.156671
12.715177 0.157417 0.156671
12.726043 0.159765 0.156673
12.736910 0.154051 0.156676
12.747776 0.152564 0.156680
12.758643 0.152955 0.156685
12.769509 0.144971 0.156690
12.780375 0.146380 0.156696
12.791242 0.151155 0.156702
12.802108 0.153033 0.156706
12.812975 0.150137 0.156710
12.823841 0.153738 0.156711
12.834708 0.144814 0.156709
12.845574 0.151703 0.156704
12.856440 0.156634 0.156694
12.867307 0.153738 0.156679
12.878173 0.149354 0.156659
12.889040 0.154599 0.156634
12.899906 0.150372 0.156604
12.910773 0.149667 0.156571
12.921639 0.156869 0.156535
12.932506 0.148102 0.156496
12.943372 0.151546 0.156455
12.954238 0.150685 0.156414
12.965105 0.146380 0.156372
12.975971 0.152564 0.156331
12.986838 0.145832 0.156290
12.997704 0.149198 0.156250
13.008571 0.152329 0.156211
13.019437 0.147162 0.156174
13.030304 0.153112 0.156138
13.041170 0.146614 0.156103
13.052036 0.152642 0.156069
13.062903 0.153268 0.156037
13.073769 0.146849 0.156007
13.084636 0.153738 0.155977
13.095502 0.154364 0.155949
13.106369 0.147397 0.155922
13.117235 0.150607 0.155896
13.128101 0.147710 0.155872
13.138968 0.151155 0.155848
13.149834 0.149198 0.155825
13.160701 0.144736 0.155802
13.171567 0.151076 0.155781
13.182434 0.151624 0.155760
13.193300 0.150998 0.155739
13.204167 0.149589 0.155720
13.215033 0.149198 0.155700
13.225899 0.147006 0.155681
13.236766 0.146928 0.155662
13.247632 0.147241 0.155644
13.258499 0.146614 0.155626
13.269365 0.145597 0.155608
13.280232 0.147084 0.155590
13.291098 0.147319 0.155573
13.301965 0.150998 0.155556
13.312831 0.145049 0.155539
13.323697 0.145519 0.155522
13.334564 0.144736 0.155505
13.345430 0.146067 0.155488
13.356297 0.147945 0.155472
13.367163 0.146928 0.155455
13.378030 0.145519 0.155439
13.388896 0.147241 0.155423
13.399762 0.144579 0.155407
13.410629 0.140822 0.155391
13.421495 0.149276 0.155375
13.432362 0.152564 0.155359
13.443228 0.143405 0.155344
13.454095 0.144423 0.155328
13.464961 0.146536 0.155313
13.475828 0.145597 0.155297
13.486694 0.145597 0.155282
13.497560 0.139100 0.155267
13.508427 0.141526 0.155251
13.519293 0.144188 0.155236
13.530160 0.155695 0.155221
13.541026 0.142309 0.155206
13.551893 0.150920 0.155192
13.562759 0.153346 0.155177
13.573626 0.147241 0.155162
13.584492 0.144736 0.155147
13.595358 0.147554 0.155133
13.606225 0.154207 0.155118
13.617091 0.150528 0.155104
13.627958 0.148180 0.155089
13.638824 0.148258 0.155075
13.649691 0.143796 0.155061
13.660557 0.148180 0.155047
13.671423 0.146693 0.155033
13.682290 0.153581 0.155019
13.693156 0.147710 0.155005
13.704023 0.149511 0.154991
13.714889 0.148885 0.154977
13.725756 0.148180 0.154963
13.736622 0.146536 0.154949
13.747489 0.148650 0.154936
13.758355 0.144188 0.154922
13.769221 0.146928 0.154908
13.780088 0.143718 0.154895
13.790954 0.137299 0.154881
13.801821 0.143640 0.154868
13.812687 0.147476 0.154855
13.823554 0.145440 0.154841
13.834420 0.151937 0.154828
13.845287 0.143562 0.154815
13.856153 0.143014 0.154802
13.867019 0.153816 0.154789
13.877886 0.143170 0.154776
13.888752 0.145205 0.154763
13.899619 0.148806 0.154750
13.910485 0.141761 0.154737
13.921352 0.145597 0.154725
13.932218 0.147632 0.154712
13.943084 0.143640 0.154699
13.953951 0.143170 0.154687
13.964817 0.148806 0.154674
13.975684 0.141996 0.154662
13.986550 0.139100 0.154649
13.997417 0.145127 0.154637
14.008283 0.142935 0.154625
14.019150 0.147867 0.154612
14.030016 0.153894 0.154600
14.040882 0.148650 0.154588
14.051749 0.141761 0.154576
14.062615 0.149902 0.154564
14.073482 0.145440 0.154552
14.084348 0.146614 0.154540
14.095215 0.144892 0.154528
14.106081 0.143796 0.154516
14.116948 0.141605 0.154504
14.127814 0.150294 0.154493
14.138680 0.144736 0.154481
14.149547 0.144501 0.154469
14.160413 0.146067 0.154458
14.171280 0.149119 0.154446
14.182146 0.146614 0.154435
14.193013 0.149511 0.154424
14.203879 0.147632 0.154412
14.214745 0.147241 0.154401
14.225612 0.145127 0.154390
14.236478 0.145910 0.154379
14.247345 0.142387 0.154367
14.258211 0.142701 0.154356
14.269078 0.140822 0.154345
14.279944 0.139883 0.154334
14.290811 0.137065 0.154324
14.301677 0.144658 0.154313
14.312543 0.144814 0.154302
14.323410 0.144579 0.154291
14.334276 0.146614 0.154280
14.345143 0.145049 0.154270
14.356009 0.142701 0.154259
14.366876 0.146301 0.154249
14.377742 0.140665 0.154238
14.388609 0.146536 0.154228
14.399475 0.142779 0.154217
14.410341 0.147006 0.154207
14.421208 0.148963 0.154197
14.432074 0.146693 0.154186
14.442941 0.147476 0.154176
14.453807 0.142074 0.154166
14.464674 0.143405 0.154156
14.475540 0.145832 0.154146
14.486407 0.142622 0.154136
14.497273 0.144110 0.154126
14.508139 0.148415 0.154116
14.519006 0.140196 0.154107
14.529872 0.145284 0.154097
14.540739 0.146771 0.154087
14.551605 0.147945 0.154078
14.562472 0.139648 0.154068
14.573338 0.148180 0.154058
14.584204 0.144110 0.154049
14.595071 0.145597 0.154039
14.605937 0.141761 0.154030
14.616804 0.144501 0.154021
14.627670 0.148180 0.154011
14.638537 0.146145 0.154002
14.649403 0.141526 0.153993
14.660270 0.143640 0.153984
14.671136 0.149119 0.153975
14.682002 0.143718 0.153966
14.692869 0.147162 0.153957
14.703735 0.143718 0.153948
14.714602 0.143875 0.153939
14.725468 0.147397 0.153930
14.736335 0.138552 0.153922
14.747201 0.141918 0.153913
14.758067 0.146536 0.153904
14.768934 0.144736 0.153896
14.779800 0.139726 0.153887
14.790667 0.141057 0.153879
14.801533 0.143796 0.153870
14.812400 0.146693 0.153862
14.823266 0.141370 0.153853
14.834133 0.142074 0.153845
14.844999 0.148963 0.153837
14.855865 0.143718 0.153829
14.866732 0.139491 0.153821
14.877598 0.137847 0.153813
14.888465 0.144501 0.153805
14.899331 0.147397 0.153797
14.910198 0.147632 0.153789
14.921064 0.142857 0.153781
14.931931 0.141840 0.153773
14.942797 0.146849 0.153765
14.953663 0.138239 0.153758
14.964530 0.144814 0.153750
14.975396 0.143875 0.153743
14.986263 0.142857 0.153735
14.997129 0.149902 0.153728
15.007996 0.148728 0.153720
15.018862 0.146771 0.153713
15.029729 0.145910 0.153706
15.040595 0.150059 0.153698
15.051461 0.144344 0.153691
15.062328 0.143092 0.153684
15.073194 0.147241 0.153677
15.084061 0.149746 0.153670
15.094927 0.153816 0.153663
15.105794 0.138943 0.153656
15.116660 0.143562 0.153649
15.127526 0.144892 0.153642
15.138393 0.143014 0.153636
15.149259 0.146301 0.153629
15.160126 0.146458 0.153622
15.170992 0.145910 0.153616
15.181859 0.144736 0.153609
15.192725 0.144110 0.153603
15.203592 0.149198 0.153596
15.214458 0.145988 0.153590
15.225324 0.145597 0.153584
15.236191 0.144344 0.153578
15.247057 0.139883 0.153571
15.257924 0.147084 0.153565
15.268790 0.147319 0.153559
15.279657 0.147945 0.153553
15.290523 0.144031 0.153547
15.301389 0.148023 0.153542
15.312256 0.146223 0.153536
15.323122 0.145284 0.153530
15.333989 0.144814 0.153524
15.344855 0.141448 0.153519
15.355722 0.141683 0.153513
15.366588 0.145832 0.153508
15.377455 0.149667 0.153502
15.388321 0.141448 0.153497
15.399187 0.147789 0.153492
15.410054 0.140665 0.153487
15.420920 0.150294 0.153481
15.431787 0.142622 0.153476
15.442653 0.143796 0.153471
15.453520 0.149511 0.153466
15.464386 0.145519 0.153462
15.475253 0.146145 0.153457
15.486119 0.144266 0.153452
15.496985 0.141761 0.153447
15.507852 0.143796 0.153443
15.518718 0.149276 0.153438
15.529585 0.147632 0.153434
15.540451 0.135890 0.153429
15.551318 0.141605 0.153425
15.562184 0.141605 0.153421
15.573051 0.147319 0.153417
15.583917 0.146614 0.153413
15.594783 0.146614 0.153409
15.605650 0.145362 0.153405
15.616516 0.146380 0.153401
15.627383 0.141996 0.153397
15.638249 0.139491 0.153394
15.649116 0.137534 0.153390
15.659982 0.148023 0.153387
15.670848 0.146771 0.153383
15.681715 0.147554 0.153380
15.692581 0.139961 0.153377
15.703448 0.144892 0.153374
15.714314 0.146458 0.153371
15.725181 0.144266 0.153368
15.736047 0.144188 0.153365
15.746914 0.144423 0.153363
15.757780 0.144110 0.153360
15.768646 0.150920 0.153357
15.779513 0.141761 0.153355
15.790379 0.144266 0.153353
15.801246 0.149589 0.153351
15.812112 0.138160 0.153349
15.822979 0.144658 0.153347
15.833845 0.145597 0.153345
15.844711 0.145362 0.153343
15.855578 0.144110 0.153342
15.866444 0.144658 0.153341
15.877311 0.141370 0.153339
15.888177 0.141840 0.153338
15.899044 0.141292 0.153337
15.909910 0.139022 0.153337
15.920777 0.142701 0.153336
15.931643 0.148650 0.153336
15.942509 0.141448 0.153335
15.953376 0.140978 0.153335
15.964242 0.146067 0.153335
15.975109 0.146693 0.153336
15.985975 0.145049 0.153336
15.996842 0.146614 0.153337
16.007708 0.146849 0.153338
16.018575 0.145753 0.153339
16.029441 0.142153 0.153341
16.040307 0.145988 0.153342
16.051174 0.153268 0.153344
16.062040 0.150528 0.153347
16.072907 0.146536 0.153349
16.083773 0.147476 0.153352
16.094640 0.151468 0.153355
16.105506 0.147241 0.153359
16.116373 0.149511 0.153363
16.127239 0.150920 0.153367
16.138105 0.151781 0.153372
16.148972 0.147867 0.153378
16.159838 0.150841 0.153384
16.170705 0.150059 0.153390
16.181571 0.142074 0.153397
16.192438 0.146145 0.153405
16.203304 0.147710 0.153414
16.214170 0.150998 0.153423
16.225037 0.146145 0.153434
16.235903 0.146771 0.153445
16.246770 0.149746 0.153458
16.257636 0.144736 0.153472
16.268503 0.145049 0.153487
16.279369 0.149824 0.153504
