index,Rwp,step,frac,scale
0,22.65899268991189,初始化,"[0.4118938148021698, 0.4563029408454895, 0.13180331885814667]","[0.3793995976448059, 0.39599958062171936, 0.304860383272171]"
1,21.0316455307479,粗调 (Stage 1)-StepA,"[0.4165635108947754, 0.4737187623977661, 0.1097177267074585]","[0.2565012574195862, 0.2685421407222748, 0.2005641609430313]"
2,22.90004252684554,粗调 (Stage 1)-StepB,"[0.8913333415985107, 0.06111261621117592, 0.04755400866270065]","[9.999999747378752e-05, 0.0002558788692113012, 0.0002260295150335878]"
3,19.38664738058332,粗调 (Stage 1),"[0.5627197623252869, 0.3468504548072815, 0.09042982757091522]","[0.34118446707725525, 0.28616440296173096, 0.22290273010730743]"
4,21.298652716344964,粗调 (Stage 1),"[0.2667616307735443, 0.6146699786186218, 0.11856839805841446]","[0.21247123181819916, 0.25374317169189453, 0.1772938221693039]"
5,19.38664738058332,粗调 (Stage 1),"[0.5627197623252869, 0.3468504548072815, 0.09042982757091522]","[0.34118446707725525, 0.28616440296173096, 0.22290273010730743]"
6,21.298652716344964,粗调 (Stage 1),"[0.2667616307735443, 0.6146699786186218, 0.11856839805841446]","[0.21247123181819916, 0.25374317169189453, 0.1772938221693039]"
7,19.38664738058332,粗调 (Stage 1),"[0.5627197623252869, 0.3468504548072815, 0.09042982757091522]","[0.34118446707725525, 0.28616440296173096, 0.22290273010730743]"
8,21.298652716344964,粗调 (Stage 1),"[0.2667616307735443, 0.6146699786186218, 0.11856839805841446]","[0.21247123181819916, 0.25374317169189453, 0.1772938221693039]"
9,19.55567487389387,粗调 (Stage 1),"[0.6946917176246643, 0.1916780024766922, 0.11363022774457932]","[0.29880446195602417, 0.24331705272197723, 0.20104078948497772]"
10,19.097457818359214,粗调 (Stage 1),"[0.6876837015151978, 0.20433257520198822, 0.10798375308513641]","[0.32007160782814026, 0.26174646615982056, 0.21275818347930908]"
11,19.55567487389387,粗调 (Stage 1),"[0.6946917176246643, 0.1916780024766922, 0.11363022774457932]","[0.29880446195602417, 0.24331705272197723, 0.20104078948497772]"
12,19.097457818359214,粗调 (Stage 1),"[0.6876837015151978, 0.20433257520198822, 0.10798375308513641]","[0.32007160782814026, 0.26174646615982056, 0.21275818347930908]"
13,19.061393838219292,粗调 (Stage 1),"[0.4902867376804352, 0.4121406376361847, 0.09757263958454132]","[0.38897427916526794, 0.363785058259964, 0.28541937470436096]"
14,21.225745551385238,粗调 (Stage 1),"[0.51610267162323, 0.3351854383945465, 0.1487119197845459]","[0.4470852315425873, 0.4043773114681244, 0.4068966805934906]"
15,19.858932737881187,粗调 (Stage 1),"[0.4545392394065857, 0.3991033434867859, 0.1463574320077896]","[0.44074228405952454, 0.42245715856552124, 0.4139541685581207]"
16,20.118352295163913,粗调 (Stage 1),"[0.4476621150970459, 0.39135855436325073, 0.16097930073738098]","[0.4657675325870514, 0.44632261991500854, 0.4641457796096802]"
17,19.608153811727743,粗调 (Stage 1),"[0.4616696238517761, 0.4008937180042267, 0.13743671774864197]","[0.4256196916103363, 0.40589627623558044, 0.3831356167793274]"
18,19.192081934101317,粗调 (Stage 1),"[0.47446197271347046, 0.3949403166770935, 0.13059775531291962]","[0.4151732325553894, 0.38896599411964417, 0.35814201831817627]"
19,19.106030110403132,粗调 (Stage 1),"[0.5039570331573486, 0.4166269302368164, 0.07941611856222153]","[0.385917067527771, 0.3574869930744171, 0.25349220633506775]"
20,19.12254778263937,粗调 (Stage 1),"[0.4819756746292114, 0.4067409634590149, 0.11128338426351547]","[0.39945685863494873, 0.3750329315662384, 0.3155401349067688]"
21,21.61149796793407,粗调 (Stage 1),"[0.11664130538702011, 0.843703031539917, 0.039655692875385284]","[0.14748407900333405, 0.25931787490844727, 0.09283983707427979]"
22,21.61149796793407,粗调 (Stage 1),"[0.11664130538702011, 0.843703031539917, 0.039655692875385284]","[0.14748407900333405, 0.25931787490844727, 0.09283983707427979]"
23,21.61149796793407,粗调 (Stage 1),"[0.11664130538702011, 0.843703031539917, 0.039655692875385284]","[0.14748407900333405, 0.25931787490844727, 0.09283983707427979]"
24,21.61149796793407,粗调 (Stage 1),"[0.11664130538702011, 0.843703031539917, 0.039655692875385284]","[0.14748407900333405, 0.25931787490844727, 0.09283983707427979]"
25,21.610944090807426,粗调 (Stage 1),"[0.12233944237232208, 0.8348813652992249, 0.04277920350432396]","[0.15440748631954193, 0.2640191316604614, 0.09895037859678268]"
26,21.610944090807426,粗调 (Stage 1),"[0.12233944237232208, 0.8348813652992249, 0.04277920350432396]","[0.15440748631954193, 0.2640191316604614, 0.09895037859678268]"
27,20.508382787341333,粗调 (Stage 1),"[0.9566446542739868, 0.028223438188433647, 0.015131887048482895]","[0.35072246193885803, 0.10294641554355621, 0.07533209025859833]"
28,20.508382787341333,粗调 (Stage 1),"[0.9566446542739868, 0.028223438188433647, 0.015131887048482895]","[0.35072246193885803, 0.10294641554355621, 0.07533209025859833]"
29,20.508382787341333,粗调 (Stage 1),"[0.9566446542739868, 0.028223438188433647, 0.015131887048482895]","[0.35072246193885803, 0.10294641554355621, 0.07533209025859833]"
30,20.508382787341333,粗调 (Stage 1),"[0.9566446542739868, 0.028223438188433647, 0.015131887048482895]","[0.35072246193885803, 0.10294641554355621, 0.07533209025859833]"
31,20.36564879568689,粗调 (Stage 1),"[0.9716943502426147, 0.013027346692979336, 0.015278334729373455]","[0.38393083214759827, 0.07644668221473694, 0.08307486772537231]"
32,20.5330126390338,粗调 (Stage 1),"[0.974675178527832, 0.01273641362786293, 0.012588340789079666]","[0.37216269969940186, 0.07281005382537842, 0.07268849015235901]"
33,18.84493147590039,粗调 (Stage 1),"[0.47482913732528687, 0.3870091438293457, 0.13816171884536743]","[0.3799406886100769, 0.35546860098838806, 0.3295682370662689]"
34,18.84493147590039,粗调 (Stage 1),"[0.47482913732528687, 0.3870091438293457, 0.13816171884536743]","[0.3799406886100769, 0.35546860098838806, 0.3295682370662689]"
35,18.84493147590039,粗调 (Stage 1),"[0.47482913732528687, 0.3870091438293457, 0.13816171884536743]","[0.3799406886100769, 0.35546860098838806, 0.3295682370662689]"
36,18.84493147590039,粗调 (Stage 1),"[0.47482913732528687, 0.3870091438293457, 0.13816171884536743]","[0.3799406886100769, 0.35546860098838806, 0.3295682370662689]"
37,18.879029256870048,粗调 (Stage 1),"[0.5004916191101074, 0.3955552577972412, 0.10395317524671555]","[0.41177478432655334, 0.3742813169956207, 0.3109287917613983]"
38,19.02826942228699,粗调 (Stage 1),"[0.4829765558242798, 0.4040249288082123, 0.11299853771924973]","[0.4019058048725128, 0.3762763440608978, 0.3207622468471527]"
