# 2Theta  Intensity_Obs  Intensity_Fit
10.009433 0.092771 0.085438
10.020300 0.095417 0.085434
10.031166 0.094125 0.085430
10.042033 0.096986 0.085427
10.052899 0.092648 0.085423
10.063765 0.091049 0.085419
10.074632 0.094740 0.085415
10.085498 0.094125 0.085412
10.096365 0.096063 0.085408
10.107231 0.092771 0.085404
10.118098 0.092156 0.085401
10.128964 0.090188 0.085397
10.139831 0.096493 0.085393
10.150697 0.092833 0.085390
10.161563 0.090618 0.085386
10.172430 0.092095 0.085383
10.183296 0.095355 0.085379
10.194163 0.091972 0.085376
10.205029 0.090864 0.085373
10.215896 0.094740 0.085369
10.226762 0.091172 0.085366
10.237628 0.095325 0.085362
10.248495 0.090649 0.085359
10.259361 0.092956 0.085356
10.270228 0.091756 0.085353
10.281094 0.093079 0.085349
10.291961 0.092587 0.085346
10.302827 0.092771 0.085343
10.313694 0.092249 0.085340
10.324560 0.094186 0.085337
10.335426 0.092802 0.085334
10.346293 0.093171 0.085331
10.357159 0.092341 0.085328
10.368026 0.091326 0.085325
10.378892 0.092187 0.085322
10.389759 0.095755 0.085319
10.400625 0.093417 0.085316
10.411492 0.092341 0.085313
10.422358 0.090557 0.085310
10.433224 0.093048 0.085307
10.444091 0.090864 0.085305
10.454957 0.092310 0.085302
10.465824 0.090772 0.085299
10.476690 0.090741 0.085296
10.487557 0.091080 0.085294
10.498423 0.089173 0.085291
10.509289 0.090464 0.085288
10.520156 0.088957 0.085286
10.531022 0.089234 0.085283
10.541889 0.091080 0.085281
10.552755 0.089173 0.085278
10.563622 0.089788 0.085276
10.574488 0.089695 0.085273
10.585355 0.090126 0.085271
10.596221 0.089142 0.085268
10.607087 0.089449 0.085266
10.617954 0.091049 0.085264
10.628820 0.093971 0.085261
10.639687 0.088988 0.085259
10.650553 0.094740 0.085257
10.661420 0.091172 0.085254
10.672286 0.088496 0.085252
10.683153 0.089234 0.085250
10.694019 0.088619 0.085248
10.704885 0.089788 0.085246
10.715752 0.089449 0.085244
10.726618 0.092433 0.085241
10.737485 0.090372 0.085239
10.748351 0.091695 0.085237
10.759218 0.092372 0.085235
10.770084 0.090649 0.085233
10.780950 0.089019 0.085231
10.791817 0.090649 0.085230
10.802683 0.090065 0.085228
10.813550 0.089296 0.085226
10.824416 0.090464 0.085224
10.835283 0.088588 0.085222
10.846149 0.091818 0.085220
10.857016 0.090864 0.085219
10.867882 0.089542 0.085217
10.878748 0.086681 0.085215
10.889615 0.087327 0.085213
10.900481 0.089203 0.085212
10.911348 0.088926 0.085210
10.922214 0.088988 0.085209
10.933081 0.092925 0.085207
10.943947 0.090772 0.085205
10.954814 0.095478 0.085204
10.965680 0.087696 0.085202
10.976546 0.092033 0.085201
10.987413 0.088311 0.085199
10.998279 0.087881 0.085198
11.009146 0.088465 0.085197
11.020012 0.089942 0.085195
11.030879 0.089634 0.085194
11.041745 0.091879 0.085193
11.052611 0.090464 0.085191
11.063478 0.086896 0.085190
11.074344 0.090095 0.085189
11.085211 0.088157 0.085188
11.096077 0.089695 0.085186
11.106944 0.085574 0.085185
11.117810 0.087296 0.085184
11.128677 0.091080 0.085183
11.139543 0.086835 0.085182
11.150409 0.089203 0.085181
11.161276 0.085666 0.085180
11.172142 0.088219 0.085179
11.183009 0.088311 0.085178
11.193875 0.089111 0.085177
11.204742 0.088373 0.085176
11.215608 0.090557 0.085175
11.226475 0.092925 0.085174
11.237341 0.088311 0.085173
11.248207 0.088342 0.085173
11.259074 0.089419 0.085172
11.269940 0.088773 0.085171
11.280807 0.087758 0.085170
11.291673 0.089449 0.085170
11.302540 0.086866 0.085169
11.313406 0.086373 0.085168
11.324272 0.087358 0.085168
11.335139 0.089542 0.085167
11.346005 0.090065 0.085166
11.356872 0.089080 0.085166
11.367738 0.089449 0.085165
11.378605 0.090280 0.085165
11.389471 0.088004 0.085164
11.400338 0.089511 0.085164
11.411204 0.089572 0.085163
11.422070 0.085451 0.085163
11.432937 0.090034 0.085163
11.443803 0.086435 0.085162
11.454670 0.086866 0.085162
11.465536 0.087604 0.085162
11.476403 0.088711 0.085161
11.487269 0.087573 0.085161
11.498136 0.083420 0.085161
11.509002 0.083051 0.085161
11.519868 0.086004 0.085161
11.530735 0.082528 0.085160
11.541601 0.087696 0.085160
11.552468 0.085297 0.085160
11.563334 0.085297 0.085160
11.574201 0.085635 0.085160
11.585067 0.086404 0.085160
11.595933 0.087635 0.085160
11.606800 0.088004 0.085160
11.617666 0.086989 0.085160
11.628533 0.086220 0.085160
11.639399 0.088803 0.085160
11.650266 0.086989 0.085160
11.661132 0.086127 0.085161
11.671999 0.087665 0.085161
11.682865 0.085174 0.085161
11.693731 0.086773 0.085161
11.704598 0.087788 0.085161
11.715464 0.084589 0.085162
11.726331 0.086558 0.085162
11.737197 0.087635 0.085162
11.748064 0.089419 0.085163
11.758930 0.087019 0.085163
11.769796 0.086127 0.085164
11.780663 0.081913 0.085164
11.791529 0.086097 0.085164
11.802396 0.085851 0.085165
11.813262 0.084282 0.085165
11.824129 0.087696 0.085166
11.834995 0.084928 0.085167
11.845862 0.082682 0.085167
11.856728 0.085881 0.085168
11.867594 0.083697 0.085168
11.878461 0.083943 0.085169
11.889327 0.085328 0.085170
11.900194 0.087235 0.085170
11.911060 0.085820 0.085171
11.921927 0.085881 0.085172
11.932793 0.083482 0.085173
11.943660 0.085635 0.085174
11.954526 0.083390 0.085174
11.965392 0.086281 0.085175
11.976259 0.087881 0.085176
11.987125 0.083667 0.085177
11.997992 0.084589 0.085178
12.008858 0.084497 0.085179
12.019725 0.083482 0.085180
12.030591 0.087019 0.085181
12.041457 0.085112 0.085182
12.052324 0.084251 0.085183
12.063190 0.086589 0.085184
12.074057 0.086558 0.085185
12.084923 0.087635 0.085187
12.095790 0.085389 0.085188
12.106656 0.083728 0.085189
12.117523 0.086343 0.085190
12.128389 0.083051 0.085191
12.139255 0.082467 0.085193
12.150122 0.084036 0.085194
12.160988 0.086681 0.085195
12.171855 0.086004 0.085197
12.182721 0.085389 0.085198
12.193588 0.083820 0.085199
12.204454 0.087881 0.085201
12.215321 0.082313 0.085202
12.226187 0.085820 0.085204
12.237053 0.082867 0.085205
12.247920 0.084835 0.085207
12.258786 0.082775 0.085208
12.269653 0.083082 0.085210
12.280519 0.086158 0.085211
12.291386 0.083636 0.085213
12.302252 0.082282 0.085215
12.313118 0.083082 0.085216
12.323985 0.083636 0.085218
12.334851 0.080191 0.085220
12.345718 0.083697 0.085222
12.356584 0.084036 0.085223
12.367451 0.085082 0.085225
12.378317 0.085820 0.085227
12.389184 0.084835 0.085229
12.400050 0.083297 0.085231
12.410916 0.086220 0.085233
12.421783 0.086189 0.085235
12.432649 0.084651 0.085237
12.443516 0.083636 0.085239
12.454382 0.084097 0.085241
12.465249 0.082959 0.085243
12.476115 0.081636 0.085245
12.486982 0.084005 0.085247
12.497848 0.084189 0.085249
12.508714 0.086035 0.085251
12.519581 0.082836 0.085253
12.530447 0.082651 0.085255
12.541314 0.084097 0.085258
12.552180 0.085297 0.085260
12.563047 0.085328 0.085262
12.573913 0.085820 0.085264
12.584779 0.085266 0.085267
12.595646 0.084620 0.085269
12.606512 0.081975 0.085272
12.617379 0.082405 0.085274
12.628245 0.085051 0.085276
12.639112 0.086558 0.085279
12.649978 0.084712 0.085281
12.660845 0.083544 0.085284
12.671711 0.083144 0.085286
12.682577 0.082313 0.085289
12.693444 0.083051 0.085292
12.704310 0.083943 0.085294
12.715177 0.086866 0.085297
12.726043 0.085574 0.085299
12.736910 0.081698 0.085302
12.747776 0.082067 0.085305
12.758643 0.080314 0.085308
12.769509 0.086620 0.085310
12.780375 0.083082 0.085313
12.791242 0.082221 0.085316
12.802108 0.084343 0.085319
12.812975 0.084651 0.085322
12.823841 0.086681 0.085325
12.834708 0.082344 0.085328
12.845574 0.083544 0.085331
12.856440 0.081452 0.085334
12.867307 0.082990 0.085337
12.878173 0.087573 0.085340
12.889040 0.082959 0.085343
12.899906 0.083082 0.085346
12.910773 0.080621 0.085349
12.921639 0.083790 0.085352
12.932506 0.083820 0.085355
12.943372 0.084251 0.085359
12.954238 0.082006 0.085362
12.965105 0.083913 0.085365
12.975971 0.084712 0.085369
12.986838 0.085727 0.085372
12.997704 0.085235 0.085375
13.008571 0.084405 0.085379
13.019437 0.084282 0.085382
13.030304 0.086373 0.085386
13.041170 0.083451 0.085389
13.052036 0.082405 0.085393
13.062903 0.081206 0.085396
13.073769 0.084866 0.085400
13.084636 0.081913 0.085403
13.095502 0.082590 0.085407
13.106369 0.086466 0.085411
13.117235 0.081913 0.085414
13.128101 0.082436 0.085418
13.138968 0.082559 0.085422
13.149834 0.084528 0.085426
13.160701 0.082405 0.085429
13.171567 0.082467 0.085433
13.182434 0.082006 0.085437
13.193300 0.086496 0.085441
13.204167 0.079822 0.085445
13.215033 0.082405 0.085449
13.225899 0.085205 0.085453
13.236766 0.081790 0.085457
13.247632 0.082467 0.085461
13.258499 0.082651 0.085465
13.269365 0.083144 0.085469
13.280232 0.085543 0.085474
13.291098 0.082252 0.085478
13.301965 0.084220 0.085482
13.312831 0.080591 0.085486
13.323697 0.080714 0.085491
13.334564 0.083082 0.085495
13.345430 0.083820 0.085499
13.356297 0.082775 0.085504
13.367163 0.085943 0.085508
13.378030 0.082067 0.085513
13.388896 0.081821 0.085517
13.399762 0.081329 0.085522
13.410629 0.086035 0.085526
13.421495 0.081667 0.085531
13.432362 0.081421 0.085536
13.443228 0.086035 0.085540
13.454095 0.084589 0.085545
13.464961 0.085082 0.085550
13.475828 0.082744 0.085555
13.486694 0.079514 0.085560
13.497560 0.082528 0.085565
13.508427 0.082928 0.085570
13.519293 0.081483 0.085574
13.530160 0.083420 0.085580
13.541026 0.082805 0.085585
13.551893 0.083082 0.085590
13.562759 0.084620 0.085595
13.573626 0.081267 0.085600
13.584492 0.082836 0.085605
13.595358 0.081329 0.085611
13.606225 0.085789 0.085616
13.617091 0.083021 0.085621
13.627958 0.083636 0.085627
13.638824 0.083790 0.085632
13.649691 0.082682 0.085638
13.660557 0.084958 0.085643
13.671423 0.082221 0.085649
13.682290 0.082959 0.085654
13.693156 0.083205 0.085660
13.704023 0.082621 0.085666
13.714889 0.081667 0.085671
13.725756 0.082559 0.085677
13.736622 0.079237 0.085683
13.747489 0.082621 0.085689
13.758355 0.082898 0.085695
13.769221 0.080591 0.085701
13.780088 0.083820 0.085707
13.790954 0.082682 0.085713
13.801821 0.084835 0.085720
13.812687 0.078745 0.085726
13.823554 0.084835 0.085732
13.834420 0.082067 0.085738
13.845287 0.081421 0.085745
13.856153 0.080406 0.085751
13.867019 0.082436 0.085758
13.877886 0.081759 0.085765
13.888752 0.084036 0.085771
13.899619 0.079914 0.085778
13.910485 0.081483 0.085785
13.921352 0.082928 0.085792
13.932218 0.084743 0.085799
13.943084 0.081206 0.085806
13.953951 0.080006 0.085813
13.964817 0.082990 0.085820
13.975684 0.082713 0.085827
13.986550 0.085943 0.085834
13.997417 0.081175 0.085842
14.008283 0.080806 0.085849
14.019150 0.082375 0.085856
14.030016 0.083390 0.085864
14.040882 0.080314 0.085872
14.051749 0.083851 0.085879
14.062615 0.084097 0.085887
14.073482 0.079852 0.085895
14.084348 0.082682 0.085903
14.095215 0.079114 0.085911
14.106081 0.081698 0.085920
14.116948 0.083574 0.085928
14.127814 0.082375 0.085936
14.138680 0.080221 0.085945
14.149547 0.080621 0.085953
14.160413 0.080744 0.085962
14.171280 0.083267 0.085971
14.182146 0.083513 0.085980
14.193013 0.083021 0.085989
14.203879 0.081575 0.085998
14.214745 0.082867 0.086007
14.225612 0.082898 0.086016
14.236478 0.079176 0.086026
14.247345 0.079329 0.086035
14.258211 0.082098 0.086045
14.269078 0.082590 0.086055
14.279944 0.080498 0.086065
14.290811 0.082990 0.086075
14.301677 0.080744 0.086085
14.312543 0.081636 0.086096
14.323410 0.081421 0.086106
14.334276 0.080129 0.086117
14.345143 0.081606 0.086128
14.356009 0.082528 0.086139
14.366876 0.082867 0.086150
14.377742 0.081606 0.086162
14.388609 0.082959 0.086173
14.399475 0.084313 0.086185
14.410341 0.080560 0.086197
14.421208 0.079299 0.086209
14.432074 0.084128 0.086222
14.442941 0.082805 0.086234
14.453807 0.083174 0.086247
14.464674 0.081267 0.086260
14.475540 0.082559 0.086273
14.486407 0.082098 0.086287
14.497273 0.081175 0.086300
14.508139 0.080837 0.086314
14.519006 0.085604 0.086329
14.529872 0.084251 0.086343
14.540739 0.084282 0.086358
14.551605 0.083697 0.086373
14.562472 0.083267 0.086388
14.573338 0.084005 0.086404
14.584204 0.082405 0.086420
14.595071 0.080837 0.086437
14.605937 0.082928 0.086453
14.616804 0.084251 0.086471
14.627670 0.083082 0.086488
14.638537 0.085543 0.086506
14.649403 0.081852 0.086524
14.660270 0.082528 0.086543
14.671136 0.080252 0.086563
14.682002 0.086004 0.086582
14.692869 0.083328 0.086602
14.703735 0.084897 0.086623
14.714602 0.086712 0.086644
14.725468 0.081513 0.086666
14.736335 0.081083 0.086689
14.747201 0.080437 0.086712
14.758067 0.081237 0.086735
14.768934 0.081975 0.086760
14.779800 0.083144 0.086785
14.790667 0.082928 0.086811
14.801533 0.085082 0.086837
14.812400 0.085543 0.086865
14.823266 0.084958 0.086893
14.834133 0.081114 0.086922
14.844999 0.083790 0.086952
14.855865 0.086004 0.086983
14.866732 0.085543 0.087015
14.877598 0.085112 0.087048
14.888465 0.086066 0.087083
14.899331 0.082006 0.087119
14.910198 0.085082 0.087155
14.921064 0.082528 0.087194
14.931931 0.084805 0.087234
14.942797 0.084682 0.087275
14.953663 0.084559 0.087318
14.964530 0.085974 0.087362
14.975396 0.083728 0.087409
14.986263 0.086312 0.087457
14.997129 0.086558 0.087508
15.007996 0.084128 0.087561
15.018862 0.084128 0.087616
15.029729 0.084251 0.087674
15.040595 0.085051 0.087734
15.051461 0.085881 0.087797
15.062328 0.083113 0.087864
15.073194 0.086435 0.087933
15.084061 0.084374 0.088006
15.094927 0.084374 0.088083
15.105794 0.089603 0.088165
15.116660 0.087173 0.088250
15.127526 0.083759 0.088340
15.138393 0.090003 0.088436
15.149259 0.086066 0.088537
15.160126 0.089819 0.088644
15.170992 0.088311 0.088758
15.181859 0.088680 0.088878
15.192725 0.085512 0.089007
15.203592 0.091018 0.089144
15.214458 0.089942 0.089290
15.225324 0.089142 0.089447
15.236191 0.087327 0.089615
15.247057 0.088004 0.089795
15.257924 0.089511 0.089989
15.268790 0.091726 0.090198
15.279657 0.088096 0.090424
15.290523 0.093817 0.090670
15.301389 0.091910 0.090937
15.312256 0.093448 0.091230
15.323122 0.092341 0.091552
15.333989 0.093202 0.091908
15.344855 0.091726 0.092305
15.355722 0.093602 0.092749
15.366588 0.092310 0.093251
15.377455 0.091480 0.093822
15.388321 0.094802 0.094476
15.399187 0.095694 0.095231
15.410054 0.098339 0.096107
15.420920 0.097508 0.097128
15.431787 0.101476 0.098321
15.442653 0.102338 0.099718
15.453520 0.102461 0.101351
15.464386 0.105814 0.103257
15.475253 0.104891 0.105473
15.486119 0.110058 0.108034
15.496985 0.108121 0.110976
15.507852 0.111074 0.114328
15.518718 0.112027 0.118111
15.529585 0.116180 0.122334
15.540451 0.120055 0.126988
15.551318 0.118210 0.132038
15.562184 0.123593 0.137416
15.573051 0.119194 0.143008
15.583917 0.126761 0.148650
15.594783 0.131129 0.154126
15.605650 0.131929 0.159190
15.616516 0.136297 0.163590
15.627383 0.135158 0.167119
15.638249 0.138942 0.169642
15.649116 0.140295 0.171110
15.659982 0.139157 0.171539
15.670848 0.142633 0.170969
15.681715 0.144325 0.169435
15.692581 0.140726 0.166967
15.703448 0.143740 0.163610
15.714314 0.146909 0.159456
15.725181 0.146047 0.154657
15.736047 0.144909 0.149414
15.746914 0.145955 0.143950
15.757780 0.143094 0.138471
15.768646 0.138604 0.133150
15.779513 0.137958 0.128113
15.790379 0.134759 0.123441
15.801246 0.132113 0.119179
15.812112 0.124269 0.115346
15.822979 0.122332 0.111937
15.833845 0.119102 0.108935
15.844711 0.116303 0.106314
15.855578 0.108121 0.104041
15.866444 0.111658 0.102081
15.877311 0.107044 0.100400
15.888177 0.106767 0.098961
15.899044 0.102276 0.097732
15.909910 0.101753 0.096681
15.920777 0.099231 0.095781
15.931643 0.095970 0.095008
15.942509 0.094432 0.094340
15.953376 0.093971 0.093761
15.964242 0.095017 0.093254
15.975109 0.095909 0.092808
15.985975 0.095017 0.092413
15.996842 0.093602 0.092060
16.007708 0.091018 0.091743
16.018575 0.090680 0.091457
16.029441 0.090157 0.091197
16.040307 0.089911 0.090959
16.051174 0.089572 0.090742
16.062040 0.089972 0.090543
16.072907 0.086435 0.090359
16.083773 0.089111 0.090190
16.094640 0.090557 0.090033
16.105506 0.090311 0.089888
16.116373 0.089603 0.089753
16.127239 0.088896 0.089627
16.138105 0.087850 0.089511
16.148972 0.088465 0.089402
16.159838 0.089911 0.089300
16.170705 0.084958 0.089205
16.181571 0.085389 0.089117
16.192438 0.086343 0.089034
16.203304 0.091603 0.088956
16.214170 0.087512 0.088883
16.225037 0.088650 0.088815
