# 2Theta  Intensity_Obs  Intensity_Fit
10.009433 0.092771 0.085930
10.020300 0.095417 0.085925
10.031166 0.094125 0.085919
10.042033 0.096986 0.085914
10.052899 0.092648 0.085908
10.063765 0.091049 0.085903
10.074632 0.094740 0.085898
10.085498 0.094125 0.085893
10.096365 0.096063 0.085887
10.107231 0.092771 0.085882
10.118098 0.092156 0.085877
10.128964 0.090188 0.085872
10.139831 0.096493 0.085867
10.150697 0.092833 0.085861
10.161563 0.090618 0.085856
10.172430 0.092095 0.085851
10.183296 0.095355 0.085846
10.194163 0.091972 0.085841
10.205029 0.090864 0.085836
10.215896 0.094740 0.085832
10.226762 0.091172 0.085827
10.237628 0.095325 0.085822
10.248495 0.090649 0.085817
10.259361 0.092956 0.085812
10.270228 0.091756 0.085807
10.281094 0.093079 0.085803
10.291961 0.092587 0.085798
10.302827 0.092771 0.085793
10.313694 0.092249 0.085789
10.324560 0.094186 0.085784
10.335426 0.092802 0.085779
10.346293 0.093171 0.085775
10.357159 0.092341 0.085770
10.368026 0.091326 0.085766
10.378892 0.092187 0.085761
10.389759 0.095755 0.085757
10.400625 0.093417 0.085752
10.411492 0.092341 0.085748
10.422358 0.090557 0.085744
10.433224 0.093048 0.085739
10.444091 0.090864 0.085735
10.454957 0.092310 0.085731
10.465824 0.090772 0.085726
10.476690 0.090741 0.085722
10.487557 0.091080 0.085718
10.498423 0.089173 0.085714
10.509289 0.090464 0.085710
10.520156 0.088957 0.085705
10.531022 0.089234 0.085701
10.541889 0.091080 0.085697
10.552755 0.089173 0.085693
10.563622 0.089788 0.085689
10.574488 0.089695 0.085685
10.585355 0.090126 0.085681
10.596221 0.089142 0.085677
10.607087 0.089449 0.085674
10.617954 0.091049 0.085670
10.628820 0.093971 0.085666
10.639687 0.088988 0.085662
10.650553 0.094740 0.085658
10.661420 0.091172 0.085655
10.672286 0.088496 0.085651
10.683153 0.089234 0.085647
10.694019 0.088619 0.085644
10.704885 0.089788 0.085640
10.715752 0.089449 0.085636
10.726618 0.092433 0.085633
10.737485 0.090372 0.085629
10.748351 0.091695 0.085626
10.759218 0.092372 0.085622
10.770084 0.090649 0.085619
10.780950 0.089019 0.085615
10.791817 0.090649 0.085612
10.802683 0.090065 0.085608
10.813550 0.089296 0.085605
10.824416 0.090464 0.085602
10.835283 0.088588 0.085598
10.846149 0.091818 0.085595
10.857016 0.090864 0.085592
10.867882 0.089542 0.085589
10.878748 0.086681 0.085586
10.889615 0.087327 0.085582
10.900481 0.089203 0.085579
10.911348 0.088926 0.085576
10.922214 0.088988 0.085573
10.933081 0.092925 0.085570
10.943947 0.090772 0.085567
10.954814 0.095478 0.085564
10.965680 0.087696 0.085561
10.976546 0.092033 0.085558
10.987413 0.088311 0.085555
10.998279 0.087881 0.085552
11.009146 0.088465 0.085550
11.020012 0.089942 0.085547
11.030879 0.089634 0.085544
11.041745 0.091879 0.085541
11.052611 0.090464 0.085538
11.063478 0.086896 0.085536
11.074344 0.090095 0.085533
11.085211 0.088157 0.085530
11.096077 0.089695 0.085528
11.106944 0.085574 0.085525
11.117810 0.087296 0.085523
11.128677 0.091080 0.085520
11.139543 0.086835 0.085517
11.150409 0.089203 0.085515
11.161276 0.085666 0.085512
11.172142 0.088219 0.085510
11.183009 0.088311 0.085508
11.193875 0.089111 0.085505
11.204742 0.088373 0.085503
11.215608 0.090557 0.085501
11.226475 0.092925 0.085498
11.237341 0.088311 0.085496
11.248207 0.088342 0.085494
11.259074 0.089419 0.085491
11.269940 0.088773 0.085489
11.280807 0.087758 0.085487
11.291673 0.089449 0.085485
11.302540 0.086866 0.085483
11.313406 0.086373 0.085481
11.324272 0.087358 0.085479
11.335139 0.089542 0.085477
11.346005 0.090065 0.085475
11.356872 0.089080 0.085473
11.367738 0.089449 0.085471
11.378605 0.090280 0.085469
11.389471 0.088004 0.085467
11.400338 0.089511 0.085465
11.411204 0.089572 0.085463
11.422070 0.085451 0.085461
11.432937 0.090034 0.085460
11.443803 0.086435 0.085458
11.454670 0.086866 0.085456
11.465536 0.087604 0.085454
11.476403 0.088711 0.085453
11.487269 0.087573 0.085451
11.498136 0.083420 0.085449
11.509002 0.083051 0.085448
11.519868 0.086004 0.085446
11.530735 0.082528 0.085445
11.541601 0.087696 0.085443
11.552468 0.085297 0.085442
11.563334 0.085297 0.085440
11.574201 0.085635 0.085439
11.585067 0.086404 0.085437
11.595933 0.087635 0.085436
11.606800 0.088004 0.085435
11.617666 0.086989 0.085433
11.628533 0.086220 0.085432
11.639399 0.088803 0.085431
11.650266 0.086989 0.085429
11.661132 0.086127 0.085428
11.671999 0.087665 0.085427
11.682865 0.085174 0.085426
11.693731 0.086773 0.085425
11.704598 0.087788 0.085423
11.715464 0.084589 0.085422
11.726331 0.086558 0.085421
11.737197 0.087635 0.085420
11.748064 0.089419 0.085419
11.758930 0.087019 0.085418
11.769796 0.086127 0.085417
11.780663 0.081913 0.085416
11.791529 0.086097 0.085415
11.802396 0.085851 0.085415
11.813262 0.084282 0.085414
11.824129 0.087696 0.085413
11.834995 0.084928 0.085412
11.845862 0.082682 0.085411
11.856728 0.085881 0.085411
11.867594 0.083697 0.085410
11.878461 0.083943 0.085409
11.889327 0.085328 0.085408
11.900194 0.087235 0.085408
11.911060 0.085820 0.085407
11.921927 0.085881 0.085407
11.932793 0.083482 0.085406
11.943660 0.085635 0.085405
11.954526 0.083390 0.085405
11.965392 0.086281 0.085404
11.976259 0.087881 0.085404
11.987125 0.083667 0.085404
11.997992 0.084589 0.085403
12.008858 0.084497 0.085403
12.019725 0.083482 0.085402
12.030591 0.087019 0.085402
12.041457 0.085112 0.085402
12.052324 0.084251 0.085402
12.063190 0.086589 0.085401
12.074057 0.086558 0.085401
12.084923 0.087635 0.085401
12.095790 0.085389 0.085401
12.106656 0.083728 0.085401
12.117523 0.086343 0.085400
12.128389 0.083051 0.085400
12.139255 0.082467 0.085400
12.150122 0.084036 0.085400
12.160988 0.086681 0.085400
12.171855 0.086004 0.085400
12.182721 0.085389 0.085400
12.193588 0.083820 0.085400
12.204454 0.087881 0.085400
12.215321 0.082313 0.085401
12.226187 0.085820 0.085401
12.237053 0.082867 0.085401
12.247920 0.084835 0.085401
12.258786 0.082775 0.085401
12.269653 0.083082 0.085402
12.280519 0.086158 0.085402
12.291386 0.083636 0.085402
12.302252 0.082282 0.085403
12.313118 0.083082 0.085403
12.323985 0.083636 0.085403
12.334851 0.080191 0.085404
12.345718 0.083697 0.085404
12.356584 0.084036 0.085405
12.367451 0.085082 0.085405
12.378317 0.085820 0.085406
12.389184 0.084835 0.085406
12.400050 0.083297 0.085407
12.410916 0.086220 0.085407
12.421783 0.086189 0.085408
12.432649 0.084651 0.085409
12.443516 0.083636 0.085409
12.454382 0.084097 0.085410
12.465249 0.082959 0.085411
12.476115 0.081636 0.085412
12.486982 0.084005 0.085412
12.497848 0.084189 0.085413
12.508714 0.086035 0.085414
12.519581 0.082836 0.085415
12.530447 0.082651 0.085416
12.541314 0.084097 0.085417
12.552180 0.085297 0.085418
12.563047 0.085328 0.085419
12.573913 0.085820 0.085420
12.584779 0.085266 0.085421
12.595646 0.084620 0.085422
12.606512 0.081975 0.085423
12.617379 0.082405 0.085424
12.628245 0.085051 0.085425
12.639112 0.086558 0.085426
12.649978 0.084712 0.085428
12.660845 0.083544 0.085429
12.671711 0.083144 0.085430
12.682577 0.082313 0.085431
12.693444 0.083051 0.085433
12.704310 0.083943 0.085434
12.715177 0.086866 0.085436
12.726043 0.085574 0.085437
12.736910 0.081698 0.085438
12.747776 0.082067 0.085440
12.758643 0.080314 0.085441
12.769509 0.086620 0.085443
12.780375 0.083082 0.085444
12.791242 0.082221 0.085446
12.802108 0.084343 0.085448
12.812975 0.084651 0.085449
12.823841 0.086681 0.085451
12.834708 0.082344 0.085453
12.845574 0.083544 0.085454
12.856440 0.081452 0.085456
12.867307 0.082990 0.085458
12.878173 0.087573 0.085460
12.889040 0.082959 0.085461
12.899906 0.083082 0.085463
12.910773 0.080621 0.085465
12.921639 0.083790 0.085467
12.932506 0.083820 0.085469
12.943372 0.084251 0.085471
12.954238 0.082006 0.085473
12.965105 0.083913 0.085475
12.975971 0.084712 0.085477
12.986838 0.085727 0.085479
12.997704 0.085235 0.085482
13.008571 0.084405 0.085484
13.019437 0.084282 0.085486
13.030304 0.086373 0.085488
13.041170 0.083451 0.085490
13.052036 0.082405 0.085493
13.062903 0.081206 0.085495
13.073769 0.084866 0.085497
13.084636 0.081913 0.085500
13.095502 0.082590 0.085502
13.106369 0.086466 0.085505
13.117235 0.081913 0.085507
13.128101 0.082436 0.085510
13.138968 0.082559 0.085512
13.149834 0.084528 0.085515
13.160701 0.082405 0.085517
13.171567 0.082467 0.085520
13.182434 0.082006 0.085523
13.193300 0.086496 0.085525
13.204167 0.079822 0.085528
13.215033 0.082405 0.085531
13.225899 0.085205 0.085534
13.236766 0.081790 0.085537
13.247632 0.082467 0.085539
13.258499 0.082651 0.085542
13.269365 0.083144 0.085545
13.280232 0.085543 0.085548
13.291098 0.082252 0.085551
13.301965 0.084220 0.085554
13.312831 0.080591 0.085557
13.323697 0.080714 0.085561
13.334564 0.083082 0.085564
13.345430 0.083820 0.085567
13.356297 0.082775 0.085570
13.367163 0.085943 0.085573
13.378030 0.082067 0.085577
13.388896 0.081821 0.085580
13.399762 0.081329 0.085583
13.410629 0.086035 0.085587
13.421495 0.081667 0.085590
13.432362 0.081421 0.085594
13.443228 0.086035 0.085597
13.454095 0.084589 0.085601
13.464961 0.085082 0.085605
13.475828 0.082744 0.085608
13.486694 0.079514 0.085612
13.497560 0.082528 0.085616
13.508427 0.082928 0.085619
13.519293 0.081483 0.085623
13.530160 0.083420 0.085627
13.541026 0.082805 0.085631
13.551893 0.083082 0.085635
13.562759 0.084620 0.085639
13.573626 0.081267 0.085643
13.584492 0.082836 0.085647
13.595358 0.081329 0.085651
13.606225 0.085789 0.085655
13.617091 0.083021 0.085660
13.627958 0.083636 0.085664
13.638824 0.083790 0.085668
13.649691 0.082682 0.085672
13.660557 0.084958 0.085677
13.671423 0.082221 0.085681
13.682290 0.082959 0.085686
13.693156 0.083205 0.085690
13.704023 0.082621 0.085695
13.714889 0.081667 0.085700
13.725756 0.082559 0.085704
13.736622 0.079237 0.085709
13.747489 0.082621 0.085714
13.758355 0.082898 0.085719
13.769221 0.080591 0.085724
13.780088 0.083820 0.085729
13.790954 0.082682 0.085734
13.801821 0.084835 0.085739
13.812687 0.078745 0.085744
13.823554 0.084835 0.085749
13.834420 0.082067 0.085754
13.845287 0.081421 0.085759
13.856153 0.080406 0.085765
13.867019 0.082436 0.085770
13.877886 0.081759 0.085776
13.888752 0.084036 0.085781
13.899619 0.079914 0.085787
13.910485 0.081483 0.085793
13.921352 0.082928 0.085798
13.932218 0.084743 0.085804
13.943084 0.081206 0.085810
13.953951 0.080006 0.085816
13.964817 0.082990 0.085822
13.975684 0.082713 0.085828
13.986550 0.085943 0.085834
13.997417 0.081175 0.085841
14.008283 0.080806 0.085847
14.019150 0.082375 0.085853
14.030016 0.083390 0.085860
14.040882 0.080314 0.085866
14.051749 0.083851 0.085873
14.062615 0.084097 0.085880
14.073482 0.079852 0.085887
14.084348 0.082682 0.085894
14.095215 0.079114 0.085901
14.106081 0.081698 0.085908
14.116948 0.083574 0.085915
14.127814 0.082375 0.085922
14.138680 0.080221 0.085930
14.149547 0.080621 0.085937
14.160413 0.080744 0.085945
14.171280 0.083267 0.085952
14.182146 0.083513 0.085960
14.193013 0.083021 0.085968
14.203879 0.081575 0.085976
14.214745 0.082867 0.085984
14.225612 0.082898 0.085993
14.236478 0.079176 0.086001
14.247345 0.079329 0.086010
14.258211 0.082098 0.086018
14.269078 0.082590 0.086027
14.279944 0.080498 0.086036
14.290811 0.082990 0.086045
14.301677 0.080744 0.086054
14.312543 0.081636 0.086064
14.323410 0.081421 0.086073
14.334276 0.080129 0.086083
14.345143 0.081606 0.086093
14.356009 0.082528 0.086103
14.366876 0.082867 0.086113
14.377742 0.081606 0.086123
14.388609 0.082959 0.086134
14.399475 0.084313 0.086144
14.410341 0.080560 0.086155
14.421208 0.079299 0.086166
14.432074 0.084128 0.086178
14.442941 0.082805 0.086189
14.453807 0.083174 0.086201
14.464674 0.081267 0.086213
14.475540 0.082559 0.086225
14.486407 0.082098 0.086237
14.497273 0.081175 0.086250
14.508139 0.080837 0.086263
14.519006 0.085604 0.086276
14.529872 0.084251 0.086290
14.540739 0.084282 0.086303
14.551605 0.083697 0.086317
14.562472 0.083267 0.086332
