# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
10.000000 0.020342 0.002845 0.017497
10.010000 0.014448 0.002877 0.011572
10.020000 0.008987 0.002912 0.006075
10.030000 0.024863 0.002951 0.021912
10.040000 0.006355 0.002995 0.003361
10.050000 0.018759 0.003043 0.015716
10.060000 0.017232 0.003096 0.014137
10.070000 0.020059 0.003154 0.016905
10.080000 0.016366 0.003218 0.013149
10.090000 0.023120 0.003287 0.019832
10.100000 0.013334 0.003363 0.009971
10.110000 0.023143 0.003446 0.019697
10.120000 0.018582 0.003536 0.015047
10.130000 0.023614 0.003633 0.019981
10.140000 0.015581 0.003740 0.011841
10.150000 0.005373 0.003855 0.001518
10.160000 0.021286 0.003980 0.017305
10.170000 0.027630 0.004117 0.023513
10.180000 0.026570 0.004265 0.022304
10.190000 0.028996 0.004427 0.024569
10.200000 0.020106 0.004603 0.015503
10.210000 0.021231 0.004796 0.016435
10.220000 0.026713 0.005006 0.021707
10.230000 0.023926 0.005236 0.018690
10.240000 0.033330 0.005488 0.027841
10.250000 0.022715 0.005765 0.016950
10.260000 0.030814 0.006070 0.024743
10.270000 0.041536 0.006407 0.035129
10.280000 0.030046 0.006779 0.023267
10.290000 0.026839 0.007192 0.019647
10.300000 0.027113 0.007650 0.019463
10.310000 0.051340 0.008162 0.043178
10.320000 0.040294 0.008736 0.031559
10.330000 0.039713 0.009380 0.030333
10.340000 0.063064 0.010107 0.052958
10.350000 0.050729 0.010931 0.039798
10.360000 0.068428 0.011870 0.056558
10.370000 0.080049 0.012948 0.067101
10.380000 0.089038 0.014197 0.074840
10.390000 0.090644 0.015667 0.074977
10.400000 0.119234 0.017438 0.101795
10.410000 0.124326 0.019659 0.104666
10.420000 0.132893 0.022603 0.110290
10.430000 0.136689 0.026771 0.109918
10.440000 0.181825 0.033053 0.148772
10.450000 0.190846 0.042927 0.147920
10.460000 0.234245 0.058674 0.175571
10.470000 0.238916 0.083508 0.155408
10.480000 0.284061 0.121474 0.162587
10.490000 0.323999 0.176965 0.147035
10.500000 0.350427 0.253763 0.096665
10.510000 0.460026 0.353655 0.106370
10.520000 0.577882 0.474886 0.102996
10.530000 0.610426 0.610827 -0.000401
10.540000 0.708260 0.749278 -0.041017
10.550000 0.870978 0.872905 -0.001927
10.560000 0.920927 0.961844 -0.040916
10.570000 0.998319 0.999272 -0.000953
10.580000 0.982969 0.977870 0.005100
10.590000 0.877951 0.902567 -0.024616
10.600000 0.752461 0.787989 -0.035529
10.610000 0.637433 0.653075 -0.015642
10.620000 0.460139 0.515821 -0.055682
10.630000 0.339890 0.389922 -0.050031
10.640000 0.229209 0.283596 -0.054387
10.650000 0.167736 0.199951 -0.032215
10.660000 0.141952 0.138163 0.003789
10.670000 0.059586 0.094995 -0.035409
10.680000 0.055573 0.066224 -0.010651
10.690000 0.045478 0.047715 -0.002237
10.700000 0.042339 0.036028 0.006311
10.710000 0.026152 0.028617 -0.002465
10.720000 0.016486 0.023770 -0.007284
10.730000 0.009010 0.020424 -0.011415
10.740000 0.016325 0.017960 -0.001635
10.750000 0.016253 0.016034 0.000220
10.760000 0.000000 0.014456 -0.014456
10.770000 0.014795 0.013126 0.001670
10.780000 0.017764 0.011982 0.005782
10.790000 0.005943 0.010987 -0.005044
10.800000 0.011962 0.010115 0.001847
10.810000 0.003192 0.009345 -0.006154
10.820000 0.017485 0.008663 0.008822
10.830000 0.003494 0.008055 -0.004561
10.840000 0.009518 0.007511 0.002007
10.850000 0.005543 0.007023 -0.001480
10.860000 0.006346 0.006583 -0.000237
10.870000 0.015434 0.006184 0.009249
10.880000 0.006226 0.005823 0.000403
10.890000 0.015753 0.005495 0.010258
10.900000 0.013078 0.005195 0.007883
10.910000 0.019124 0.004921 0.014204
10.920000 0.000000 0.004669 -0.004669
10.930000 0.011183 0.004438 0.006744
10.940000 0.002854 0.004225 -0.001371
10.950000 0.000000 0.004029 -0.004029
10.960000 0.003192 0.003847 -0.000654
10.970000 0.006198 0.003678 0.002520
10.980000 0.000000 0.003522 -0.003522
10.990000 0.000000 0.003376 -0.003376
11.000000 0.018250 0.003241 0.015009
11.010000 0.000363 0.003115 -0.002751
11.020000 0.000000 0.002997 -0.002997
11.030000 0.000000 0.002886 -0.002886
11.040000 0.001982 0.002783 -0.000801
11.050000 0.010656 0.002686 0.007970
11.060000 0.000000 0.002595 -0.002595
11.070000 0.004925 0.002510 0.002415
11.080000 0.000000 0.002430 -0.002430
11.090000 0.006165 0.002354 0.003811
11.100000 0.001341 0.002283 -0.000942
11.110000 0.009151 0.002216 0.006935
11.120000 0.006941 0.002153 0.004788
11.130000 0.008658 0.002093 0.006565
11.140000 0.009498 0.002037 0.007461
11.150000 0.008604 0.001984 0.006621
11.160000 0.006835 0.001934 0.004901
11.170000 0.006378 0.001886 0.004492
11.180000 0.000693 0.001841 -0.001149
11.190000 0.000000 0.001799 -0.001799
11.200000 0.000000 0.001759 -0.001759
11.210000 0.008904 0.001721 0.007182
11.220000 0.000000 0.001686 -0.001686
11.230000 0.000000 0.001652 -0.001652
11.240000 0.004928 0.001621 0.003307
11.250000 0.015362 0.001591 0.013771
11.260000 0.007508 0.001563 0.005945
11.270000 0.005319 0.001537 0.003782
11.280000 0.004432 0.001513 0.002920
11.290000 0.002245 0.001490 0.000754
11.300000 0.013985 0.001469 0.012516
11.310000 0.015282 0.001450 0.013832
11.320000 0.000000 0.001432 -0.001432
11.330000 0.004813 0.001415 0.003397
11.340000 0.008721 0.001401 0.007320
11.350000 0.011761 0.001387 0.010374
11.360000 0.001304 0.001376 -0.000072
11.370000 0.003475 0.001366 0.002110
11.380000 0.000000 0.001357 -0.001357
11.390000 0.000000 0.001350 -0.001350
11.400000 0.001282 0.001345 -0.000064
11.410000 0.000000 0.001342 -0.001342
11.420000 0.003452 0.001341 0.002111
11.430000 0.003015 0.001341 0.001673
11.440000 0.013025 0.001344 0.011681
11.450000 0.012154 0.001349 0.010805
11.460000 0.000000 0.001356 -0.001356
11.470000 0.000000 0.001366 -0.001366
11.480000 0.000000 0.001379 -0.001379
11.490000 0.002143 0.001395 0.000748
11.500000 0.000838 0.001414 -0.000576
11.510000 0.004324 0.001437 0.002887
11.520000 0.017387 0.001464 0.015923
11.530000 0.007378 0.001496 0.005882
11.540000 0.003899 0.001533 0.002366
11.550000 0.008693 0.001576 0.007116
11.560000 0.008262 0.001626 0.006636
11.570000 0.007833 0.001684 0.006149
11.580000 0.018287 0.001751 0.016536
11.590000 0.014811 0.001829 0.012982
11.600000 0.001758 0.001919 -0.000162
11.610000 0.002636 0.002025 0.000611
11.620000 0.009175 0.002149 0.007025
11.630000 0.004829 0.002298 0.002532
11.640000 0.007451 0.002479 0.004972
11.650000 0.003542 0.002710 0.000832
11.660000 0.010953 0.003020 0.007933
11.670000 0.007915 0.003466 0.004449
11.680000 0.017504 0.004149 0.013355
11.690000 0.025786 0.005237 0.020550
11.700000 0.015784 0.006988 0.008796
11.710000 0.022326 0.009768 0.012559
11.720000 0.034528 0.014031 0.020498
11.730000 0.044554 0.020261 0.024293
11.740000 0.042390 0.028855 0.013535
11.750000 0.051110 0.039959 0.011151
11.760000 0.070279 0.053293 0.016986
11.770000 0.084224 0.068013 0.016211
11.780000 0.089898 0.082658 0.007240
11.790000 0.105150 0.095217 0.009933
11.800000 0.096457 0.103442 -0.006986
11.810000 0.095166 0.105532 -0.010366
11.820000 0.090827 0.100979 -0.010151
11.830000 0.075170 0.090856 -0.015685
11.840000 0.078233 0.077237 0.000996
11.850000 0.062141 0.062342 -0.000201
11.860000 0.038648 0.047992 -0.009344
11.870000 0.033005 0.035418 -0.002413
11.880000 0.024750 0.025239 -0.000490
11.890000 0.022154 0.017557 0.004598
11.900000 0.007369 0.012109 -0.004740
11.910000 0.007386 0.008449 -0.001063
11.920000 0.003050 0.006094 -0.003044
11.930000 0.000000 0.004617 -0.004617
11.940000 0.000038 0.003694 -0.003656
11.950000 0.000000 0.003103 -0.003103
11.960000 0.000000 0.002704 -0.002704
