# 2Theta  Intensity_Obs  Intensity_Fit  Residual_ObsMinusFit
10.000000 0.020342 0.002930 0.017412
10.010000 0.014448 0.002962 0.011486
10.020000 0.008987 0.002998 0.005989
10.030000 0.024863 0.003038 0.021825
10.040000 0.006355 0.003082 0.003273
10.050000 0.018759 0.003131 0.015628
10.060000 0.017232 0.003186 0.014047
10.070000 0.020059 0.003245 0.016814
10.080000 0.016366 0.003310 0.013056
10.090000 0.023120 0.003381 0.019738
10.100000 0.013334 0.003459 0.009876
10.110000 0.023143 0.003543 0.019599
10.120000 0.018582 0.003635 0.014947
10.130000 0.023614 0.003735 0.019879
10.140000 0.015581 0.003844 0.011737
10.150000 0.005373 0.003962 0.001411
10.160000 0.021286 0.004091 0.017195
10.170000 0.027630 0.004230 0.023400
10.180000 0.026570 0.004383 0.022187
10.190000 0.028996 0.004548 0.024448
10.200000 0.020106 0.004729 0.015377
10.210000 0.021231 0.004926 0.016305
10.220000 0.026713 0.005141 0.021571
10.230000 0.023926 0.005377 0.018549
10.240000 0.033330 0.005636 0.027694
10.250000 0.022715 0.005920 0.016795
10.260000 0.030814 0.006233 0.024581
10.270000 0.041536 0.006578 0.034958
10.280000 0.030046 0.006959 0.023087
10.290000 0.026839 0.007382 0.019456
10.300000 0.027113 0.007853 0.019260
10.310000 0.051340 0.008378 0.042962
10.320000 0.040294 0.008966 0.031328
10.330000 0.039713 0.009627 0.030086
10.340000 0.063064 0.010373 0.052692
10.350000 0.050729 0.011218 0.039511
10.360000 0.068428 0.012182 0.056246
10.370000 0.080049 0.013287 0.066762
10.380000 0.089038 0.014567 0.074471
10.390000 0.090644 0.016070 0.074574
10.400000 0.119234 0.017876 0.101358
10.410000 0.124326 0.020127 0.104199
10.420000 0.132893 0.023086 0.109807
10.430000 0.136689 0.027239 0.109450
10.440000 0.181825 0.033450 0.148375
10.450000 0.190846 0.043171 0.147675
10.460000 0.234245 0.058662 0.175583
10.470000 0.238916 0.083136 0.155780
10.480000 0.284061 0.120682 0.163379
10.490000 0.323999 0.175794 0.148205
10.500000 0.350427 0.252416 0.098011
10.510000 0.460026 0.352523 0.107503
10.520000 0.577882 0.474520 0.103362
10.530000 0.610426 0.611843 -0.001417
10.540000 0.708260 0.752178 -0.043918
10.550000 0.870978 0.877821 -0.006843
10.560000 0.920927 0.968251 -0.047323
10.570000 0.998319 1.005908 -0.007589
10.580000 0.982969 0.983148 -0.000179
10.590000 0.877951 0.905319 -0.027368
10.600000 0.752461 0.787923 -0.035462
10.610000 0.637433 0.650675 -0.013241
10.620000 0.460139 0.511964 -0.051824
10.630000 0.339890 0.385530 -0.045640
10.640000 0.229209 0.279428 -0.050219
10.650000 0.167736 0.196494 -0.028758
10.660000 0.141952 0.135628 0.006324
10.670000 0.059586 0.093369 -0.033783
10.680000 0.055573 0.065355 -0.009783
10.690000 0.045478 0.047401 -0.001923
10.700000 0.042339 0.036072 0.006267
10.710000 0.026152 0.028864 -0.002712
10.720000 0.016486 0.024114 -0.007629
10.730000 0.009010 0.020801 -0.011791
10.740000 0.016325 0.018334 -0.002009
10.750000 0.016253 0.016388 -0.000135
10.760000 0.000000 0.014786 -0.014786
10.770000 0.014795 0.013430 0.001365
10.780000 0.017764 0.012263 0.005501
10.790000 0.005943 0.011247 -0.005303
10.800000 0.011962 0.010355 0.001607
10.810000 0.003192 0.009569 -0.006377
10.820000 0.017485 0.008871 0.008614
10.830000 0.003494 0.008250 -0.004756
10.840000 0.009518 0.007693 0.001825
10.850000 0.005543 0.007194 -0.001651
10.860000 0.006346 0.006744 -0.000398
10.870000 0.015434 0.006337 0.009097
10.880000 0.006226 0.005968 0.000259
10.890000 0.015753 0.005632 0.010121
10.900000 0.013078 0.005326 0.007753
10.910000 0.019124 0.005045 0.014079
10.920000 0.000000 0.004788 -0.004788
10.930000 0.011183 0.004552 0.006631
10.940000 0.002854 0.004334 -0.001479
10.950000 0.000000 0.004133 -0.004133
10.960000 0.003192 0.003947 -0.000755
10.970000 0.006198 0.003775 0.002423
10.980000 0.000000 0.003615 -0.003615
10.990000 0.000000 0.003466 -0.003466
11.000000 0.018250 0.003328 0.014922
11.010000 0.000363 0.003199 -0.002835
11.020000 0.000000 0.003078 -0.003078
11.030000 0.000000 0.002965 -0.002965
11.040000 0.001982 0.002860 -0.000878
11.050000 0.010656 0.002761 0.007895
11.060000 0.000000 0.002668 -0.002668
11.070000 0.004925 0.002581 0.002344
11.080000 0.000000 0.002499 -0.002499
11.090000 0.006165 0.002422 0.003743
11.100000 0.001341 0.002349 -0.001008
11.110000 0.009151 0.002281 0.006870
11.120000 0.006941 0.002217 0.004725
11.130000 0.008658 0.002156 0.006502
11.140000 0.009498 0.002099 0.007400
11.150000 0.008604 0.002044 0.006560
11.160000 0.006835 0.001993 0.004841
11.170000 0.006378 0.001945 0.004433
11.180000 0.000693 0.001900 -0.001207
11.190000 0.000000 0.001857 -0.001857
11.200000 0.000000 0.001816 -0.001816
11.210000 0.008904 0.001778 0.007126
11.220000 0.000000 0.001742 -0.001742
11.230000 0.000000 0.001708 -0.001708
11.240000 0.004928 0.001677 0.003252
11.250000 0.015362 0.001647 0.013716
11.260000 0.007508 0.001619 0.005890
11.270000 0.005319 0.001593 0.003726
11.280000 0.004432 0.001568 0.002864
11.290000 0.002245 0.001546 0.000699
11.300000 0.013985 0.001525 0.012461
11.310000 0.015282 0.001505 0.013776
11.320000 0.000000 0.001488 -0.001488
11.330000 0.004813 0.001472 0.003341
11.340000 0.008721 0.001457 0.007263
11.350000 0.011761 0.001445 0.010316
11.360000 0.001304 0.001434 -0.000130
11.370000 0.003475 0.001425 0.002051
11.380000 0.000000 0.001417 -0.001417
11.390000 0.000000 0.001411 -0.001411
11.400000 0.001282 0.001407 -0.000126
11.410000 0.000000 0.001406 -0.001406
11.420000 0.003452 0.001406 0.002046
11.430000 0.003015 0.001408 0.001607
11.440000 0.013025 0.001412 0.011613
11.450000 0.012154 0.001419 0.010735
11.460000 0.000000 0.001429 -0.001429
11.470000 0.000000 0.001441 -0.001441
11.480000 0.000000 0.001457 -0.001457
11.490000 0.002143 0.001475 0.000667
11.500000 0.000838 0.001498 -0.000660
11.510000 0.004324 0.001525 0.002799
11.520000 0.017387 0.001556 0.015831
11.530000 0.007378 0.001592 0.005785
11.540000 0.003899 0.001635 0.002264
11.550000 0.008693 0.001684 0.007009
11.560000 0.008262 0.001740 0.006522
11.570000 0.007833 0.001806 0.006027
11.580000 0.018287 0.001881 0.016406
11.590000 0.014811 0.001969 0.012843
11.600000 0.001758 0.002070 -0.000312
11.610000 0.002636 0.002188 0.000448
11.620000 0.009175 0.002327 0.006848
11.630000 0.004829 0.002492 0.002337
11.640000 0.007451 0.002693 0.004757
11.650000 0.003542 0.002948 0.000594
11.660000 0.010953 0.003287 0.007666
11.670000 0.007915 0.003771 0.004144
11.680000 0.017504 0.004507 0.012997
11.690000 0.025786 0.005673 0.020113
11.700000 0.015784 0.007548 0.008236
11.710000 0.022326 0.010526 0.011800
11.720000 0.034528 0.015103 0.019426
11.730000 0.044554 0.021811 0.022743
11.740000 0.042390 0.031094 0.011296
11.750000 0.051110 0.043126 0.007984
11.760000 0.070279 0.057618 0.012661
11.770000 0.084224 0.073664 0.010560
11.780000 0.089898 0.089669 0.000228
11.790000 0.105150 0.103424 0.001726
11.800000 0.096457 0.112434 -0.015978
11.810000 0.095166 0.114697 -0.019531
11.820000 0.090827 0.109653 -0.018825
11.830000 0.075170 0.098511 -0.023340
11.840000 0.078233 0.083582 -0.005349
11.850000 0.062141 0.067317 -0.005175
11.860000 0.038648 0.051707 -0.013059
11.870000 0.033005 0.038081 -0.005076
11.880000 0.024750 0.027094 -0.002344
11.890000 0.022154 0.018833 0.003322
11.900000 0.007369 0.012996 -0.005627
11.910000 0.007386 0.009088 -0.001702
11.920000 0.003050 0.006577 -0.003527
11.930000 0.000000 0.005004 -0.005004
11.940000 0.000038 0.004018 -0.003981
11.950000 0.000000 0.003384 -0.003384
11.960000 0.000000 0.002952 -0.002952
11.970000 0.010976 0.002637 0.008339
11.980000 0.004899 0.002392 0.002506
11.990000 0.013189 0.002193 0.010996
12.000000 0.000147 0.002025 -0.001878
12.010000 0.000000 0.001880 -0.001880
12.020000 0.000000 0.001755 -0.001755
12.030000 0.003686 0.001645 0.002041
